tag,class,depth,text_length,has_img,label
html,is-not-authenticated,1,2999,True,unlabeled
head,,2,49,False,unlabeled
title,,3,49,False,unlabeled
body,,2,2950,True,unlabeled
div,tv-main,3,2950,True,unlabeled
div,tv-header,4,54,True,unlabeled
div,tv-header__inner,5,54,True,unlabeled
div,tv-header__middle-wrapper,6,41,False,unlabeled
div,tv-header__middle-content,7,41,False,unlabeled
nav,tv-header__area,8,35,False,unlabeled
ul,tv-header__main-menu,9,35,False,unlabeled
div,tv-header__area,6,13,True,unlabeled
div,js-offer-button,7,11,False,unlabeled
div,tv-header__offer-button-container,8,11,False,unlabeled
a,tv-header__offer-button,9,11,False,unlabeled
span,apply-overflow-tooltip,10,11,False,unlabeled
span,children-LHcKxrzD,11,11,False,unlabeled
span,tv-header__offer-button-title,12,11,False,unlabeled
main,tv-content,4,1452,True,unlabeled
div,js-publication-view,5,1452,True,unlabeled
div,root-aqIxarm1,6,1452,True,unlabeled
div,layout-aqIxarm1,7,1452,True,unlabeled
div,headerAndMedia-aqIxarm1,8,59,True,unlabeled
div,header-aqIxarm1,9,53,True,unlabeled
div,root-tazsg7p7,10,53,True,unlabeled
a,root-cTRMUBvs,11,31,True,unlabeled
span,name-cTRMUBvs,12,31,False,unlabeled
span,nameLabel-cTRMUBvs,13,31,False,unlabeled
span,time-tazsg7p7,11,17,False,unlabeled
relative-time,,12,10,False,unlabeled
time,,13,10,False,unlabeled
div,content-aqIxarm1,8,1393,True,unlabeled
div,root-r2SckERE,9,42,False,unlabeled
button,root-J3sr1R8Q,10,30,False,unlabeled
span,content-bYDQcOkp,11,30,False,unlabeled
span,ellipsisContainer-bYDQcOkp,12,15,False,unlabeled
span,visuallyHidden-bYDQcOkp,12,15,False,unlabeled
div,description-aqIxarm1,9,471,False,unlabeled
div,timeline-kNbZVa7x,10,471,False,unlabeled
div,timelineItem-kNbZVa7x,11,449,False,unlabeled
div,content-kNbZVa7x,12,10,False,unlabeled
div,time-jmcEf9lP,13,10,False,unlabeled
relative-time,date-_PPhhqv6,14,10,False,unlabeled
time,,15,10,False,unlabeled
div,content-kNbZVa7x,12,439,False,unlabeled
div,update-_PPhhqv6,13,439,False,unlabeled
span,ast-_PPhhqv6,14,439,False,content
span,,15,16,False,unlabeled
span,,15,33,False,unlabeled
span,,15,175,False,unlabeled
span,,15,151,False,unlabeled
span,,15,64,False,unlabeled
div,timelineItem-kNbZVa7x,11,22,False,unlabeled
div,content-kNbZVa7x,12,10,False,unlabeled
div,time-jmcEf9lP,13,10,False,unlabeled
relative-time,date-_PPhhqv6,14,10,False,unlabeled
time,,15,10,False,unlabeled
div,content-kNbZVa7x,12,12,False,unlabeled
div,update-_PPhhqv6,13,12,False,unlabeled
div,label-_PPhhqv6,14,12,False,unlabeled
div,contentMetaInfoDesktop-aqIxarm1,9,440,True,unlabeled
section,,10,132,True,unlabeled
div,author-eECqzU6v,11,14,True,unlabeled
div,signature-eECqzU6v,11,110,False,unlabeled
span,,12,110,False,unlabeled
span,,13,48,False,unlabeled
a,root-t974qRRv,13,22,False,unlabeled
span,text-t974qRRv,14,22,False,unlabeled
span,,13,11,False,unlabeled
a,root-t974qRRv,13,29,False,unlabeled
span,text-t974qRRv,14,29,False,unlabeled
section,root-lxExxEni,10,79,False,unlabeled
a,tag-zVPYJd3B,11,25,False,unlabeled
span,tag-text-rVj4hiuX,12,25,False,unlabeled
a,tag-zVPYJd3B,11,12,False,unlabeled
span,tag-text-rVj4hiuX,12,12,False,unlabeled
a,tag-zVPYJd3B,11,17,False,unlabeled
span,tag-text-rVj4hiuX,12,17,False,unlabeled
a,tag-zVPYJd3B,11,14,False,unlabeled
span,tag-text-rVj4hiuX,12,14,False,unlabeled
div,disclaimerDesktop-aqIxarm1,10,229,False,unlabeled
h2,heading-AgvfhFF8,11,10,False,unlabeled
div,content-AgvfhFF8,11,219,False,unlabeled
a,primary-zW9yIafV,12,12,False,unlabeled
div,contentMetaInfoMobile-aqIxarm1,9,211,True,unlabeled
section,root-lxExxEni,10,79,False,unlabeled
a,tag-zVPYJd3B,11,25,False,unlabeled
span,tag-text-rVj4hiuX,12,25,False,unlabeled
a,tag-zVPYJd3B,11,12,False,unlabeled
span,tag-text-rVj4hiuX,12,12,False,unlabeled
a,tag-zVPYJd3B,11,17,False,unlabeled
span,tag-text-rVj4hiuX,12,17,False,unlabeled
a,tag-zVPYJd3B,11,14,False,unlabeled
span,tag-text-rVj4hiuX,12,14,False,unlabeled
div,signatureMobile-aqIxarm1,10,132,True,unlabeled
section,contentfulRoot-oy6kGVg7,11,132,True,unlabeled
div,author-oy6kGVg7,12,14,True,unlabeled
div,signature-oy6kGVg7,12,110,False,unlabeled
span,,13,110,False,unlabeled
span,,14,48,False,unlabeled
a,root-t974qRRv,14,22,False,unlabeled
span,text-t974qRRv,15,22,False,unlabeled
span,,14,11,False,unlabeled
a,root-t974qRRv,14,29,False,unlabeled
span,text-t974qRRv,15,29,False,unlabeled
div,disclaimerMobile-aqIxarm1,9,229,False,unlabeled
h2,heading-AgvfhFF8,10,10,False,unlabeled
div,content-AgvfhFF8,10,219,False,unlabeled
a,primary-zW9yIafV,11,12,False,unlabeled
footer,tv-footer,4,1444,True,unlabeled
div,js-promo-footer-init-ssr,5,1444,True,unlabeled
div,root-uKAlzXxC,6,1444,True,unlabeled
div,container-uKAlzXxC,7,1444,True,unlabeled
div,content-uKAlzXxC,8,1444,False,unlabeled
div,,9,175,False,unlabeled
div,copyrightContainer-uKAlzXxC,10,175,False,unlabeled
button,languageButton-uKAlzXxC,11,14,False,unlabeled
span,content-bYDQcOkp,12,14,False,unlabeled
p,copyright-uKAlzXxC,11,161,False,unlabeled
span,,12,48,False,unlabeled
a,textLink-uKAlzXxC,13,18,False,unlabeled
span,,12,89,False,unlabeled
span,,12,24,False,unlabeled
div,footerLinks-YEcDt_jj,9,1269,False,unlabeled
div,footerLinksGroup-YEcDt_jj,10,373,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,30,False,unlabeled
span,footerLinksColumnTitle-YEcDt_jj,12,19,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,11,False,unlabeled
li,,13,11,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,11,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,58,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,49,False,unlabeled
li,,13,12,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,12,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,24,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,16,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,34,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,25,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,53,False,unlabeled
span,footerLinksColumnTitle-YEcDt_jj,12,13,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,40,False,unlabeled
li,,13,12,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,12,False,unlabeled
li,,13,12,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,12,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,17,False,unlabeled
